"Credit Card Type","Loại thẻ tín dụng"
"Add New User","Thêm người dùng mới"
"Items that you don","Sản phẩm"
"State/Province","Tỉnh/Thành"
"Magento Commerce - Administrative Panel","Magento Commerce - Bảng quản trị"
"3 stars","3 sao"
"Credit Memo Date","Ngày tạo bản ghi nhớ tín dụng"
"Double click on a group to rename it","Nhấp chuột hai lần vào một nhóm để đổi tên"
"Rating Not Available","Không có đánh giá"
"Gift Certificate","Gift Certificate"
"Assigned Answers","Trả lời"
"Fax","Fax"
"Magento Admin","Magento Admin"
"Newsletter Message Preview","Xem trước bản tin"
"4 stars","4 sao"
"Company","Công ty"
"Invoice Date","Ngày tạo hóa đơn"
"Qty Returned","Số lượng hoàn trả"
"Add New Customer Group","Thêm nhóm khách hàng mới"
"Visitors","Người ghé thăm"
"Shipping Method","Phương thức vận chuyển"
"Subtotal","Tổng"
"5 stars","5 sao"
"Choose Store","Chọn cửa hàng"
"Import Tax Rates","Nhập thuế suất"
"Roles","Vai trò"
"If you do not specify an option value for a store then the default value will be used.","Nếu bạn không chọn giá trị cụ thể cho một cửa hàng, giá trị mặc định sẽ được chọn."
"Shipping","Vận chuyển"
"Select from existing customer addresses:","Chọn từ địa chỉ của khách hàng có sẵn:"
"Products","Sản phẩm"
"Edit User ","Chỉnh sửa người dùng "
"Item Status","Trạng thái sản phẩm"
"Set as default billing address","Cài đặt là địa chỉ thanh toán mặc định"
"Position","Vị trí"
"Items Ordered","Sản phẩm đã được đặt"
"Fixed","Cố định"
"%s","%s"
"Same as Billing Address","Giống địa chỉ thanh toán"
"Product In Stores","Sản phẩm trong cửa hàng"
"Working...","Đang làm việc..."
"Apply coupon code","Áp dụng mã giảm giá"
"per page","mỗi trang"
"Tax","Thuế"
"Telephone","Điện thoại"
"Wishlist","Danh sách yêu thích"
"Magento","Magento"
"Expiration Date","Ngày hết hạn"
"Add New Class","Thêm một cấp mới"
"Super product attributes configuration","Cấu hình thuộc tính sản phẩm"
"Previus page","Trang trước"
"Something went wrong...","Có lỗi..."
"Lifetime Sales","Toàn bộ doanh thu"
"SKU","SKU"
"Log Out","Đăng xuất"
