"Notified customer about invoice #%s.","Thông báo khách hàng về hóa đơn #%s."
"Onepay ATM Card payment","Thanh toán thẻ Onepay ATM"
"Onepay Credit Card payment","Thanh toán thẻ tín dụng Onepay Credit Card"
"Payment Methods","Phương thức thanh toán"
"Onepay ATM Cart payment","Onepay ATM Cart payment"
"Enabled","Kích hoạt"
"Title","Tiêu đề"
"Virtual Payment Client URL: ","URL Khách thanh toán ảo: "
"Merchant ID","ID Người bán"
"Merchant AccessCode","AccessCode Người bán"
"Hash code","Hash code"
"VPC Version","Phiên bản VPC"
"Command Type","Loại lệnh"
"Payment Server Display Language Locale","Ngôn ngữ hiển thị khi thanh toán"
"Currency code","Mã tiền tệ"
"Icon","Icon"
"Sort Order","Thứ tự"
"Onepay Credit Card payment ","Thanh toán thẻ Onepay Credit Card "
"Display language (VN/EN)","Ngôn ngữ hiện thị trên cổng (VN/EN)"
"Transaction No: ","Mã giao dịch: "
"Description","Mô tả"
"Vietnamese","Tiếng Việt"
"English","Tiếng Anh"
"New Order Status","Tình trạng đơn hàng mới"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Transaction Success","Transaction Success"
"Transaction Fail: %s","Transaction Fail: %s"
"Transaction Pendding","Transaction Pendding"
"Approved","Approved"
"Bank Declined","Bank Declined"
"Merchant not exist","Merchant not exist"
"Invalid access code","Invalid access code"
"Invalid amount","Invalid amount"
"Invalid currency code","Invalid amount"
"Unspecified Failure","Unspecified Failure"
"Invalid card Number","Invalid card Number"
"Invalid card name","Invalid card name"
"Expired Card","Expired Card"
"Card Not Registed Service(internet banking)","Card Not Registed Service(internet banking)"
"Invalid card date","Invalid card date"
"Exist Amount","Exist Amount"
"Insufficient fund","Insufficient fund"
"User cancel","User cancel"
"Unable to be determined","Unable to be determined"
"Transaction Successful","Transaction Successful"
"Transaction status is unknown","Transaction status is unknown"
"Bank system reject","Bank system reject"
"Bank Declined Transaction","Bank Declined Transaction"
"No Reply from Bank","No Reply from Bank"
"Insufficient funds","Insufficient funds"
"Error Communicating with Bank","Error Communicating with Bank"
"Payment Server System Error","Payment Server System Error"
"Transaction Type Not Supported","Transaction Type Not Supported"
"Bank declined transaction (Do not contact Bank)","Bank declined transaction (Do not contact Bank)"
"Transaction Aborted","Transaction Aborted"
"Transaction Cancelled","Transaction Cancelled"
"Deferred transaction has been received and is awaiting processing","Deferred transaction has been received and is awaiting processing"
"3D Secure Authentication failed","3D Secure Authentication failed"
"Card Security Code verification failed","Card Security Code verification failed"
"Shopping Transaction Locked (Please try the transaction again later)","Shopping Transaction Locked (Please try the transaction again later)"
"Cardholder is not enrolled in Authentication scheme","Cardholder is not enrolled in Authentication scheme"
"Transaction has been received by the Payment Adaptor and is being processed","Transaction has been received by the Payment Adaptor and is being processed"
"Transaction was not processed - Reached limit of retry attempts allowed","Transaction was not processed - Reached limit of retry attempts allowed"
"Duplicate SessionID (OrderInfo)","Duplicate SessionID (OrderInfo)"
"Address Verification Failed","Address Verification Failed"
"Card Security Code Failed","Card Security Code Failed"
"Address Verification and Card Security Code Failed","Address Verification and Card Security Code Failed"
"Unable to be determined","Unable to be determined"
